覆核狀態,SI代碼,SI名稱,開始受理贖回日,固定配息率,固定配息期間,浮動配息率,幣轉,連結標的,CNR分配率,銀行收益率,計績檔次,股債類型,保本率,最低申購金額,申購單位金額
覆核中,14WMSD0912,雙匯出擊１７十年美金匯率型,"=""""",,"=""""",0.01,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0913,雙匯出擊２１十年美金匯率型,"=""""",,"=""""",0.01,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0914,雙匯出擊１９十年美金匯率型,"=""""",11.1,"=""一年""",6,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0915,雙匯出擊２２十年美金匯率型,"=""""",,"=""""",6,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0916,倍數得利３５一年人民幣匯率型,"=""""",,"=""""",6,,USDCNH Curncy,,,,,,,
覆核中,14WMSD0918,雙匯出擊２０十年美金匯率型,"=""""",,"=""""",0.01,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD0922,倍數得利３８一年人民幣匯率型,"=""""",,"=""""",6,,USDCNH Curncy,,,,,,,
覆核中,14WMSD1001,美利雙匯９十年美金匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD1003,倍數得利３６兩年人民幣匯率型,"=""""",,"=""""",6,,USDCNH Curncy,,,,,,,
覆核中,14WMSD1005,澳利雙匯７十年澳幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD1011,雙匯夠利２十年紐西蘭幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;NZDUSD Curncy,,,,,,,
覆核中,14WMSD1012,雙匯出擊２３十年美金匯率型,"=""""",,"=""""",6,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD1013,南非幣發發３一年南非幣利率型,"=""""",5.6,"=""到期""",,,JIBA3M index,,,,,,,
覆核中,14WMSD1015,紐利雙匯十年紐西蘭幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;NZDUSD Curncy,,,,,,,
覆核中,14WMSD1101,人民贏家二年人民幣匯率型,"=""""",,"=""""",6,,USDCNH Curncy,,,,,,,
覆核中,14WMSD1105,澳利雙匯８十年澳幣匯率型,"=""""",,"=""""",6,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,14WMSD1111,優利步步高７８十年澳幣利率型,"=""""",,"=""""",,,USSW10 Index,,,,,,,
覆核中,14WMSD1112,雙匯出擊２４十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD1114,雙匯出擊２５十年美金匯率型,"=""""",,"=""""",6,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,14WMSD1201,美利雙匯１０十年美金匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0101,美利雙匯１１十年美金匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0103,倍數得利４０一年人民幣匯率型,"=""""",,"=""""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0105,澳利雙匯１０十年澳幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0107,美利雙匯１２十年美金匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0109,倍數得利４１一年人民幣匯率型,"=""""",,"=""""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0114,夠匯出擊十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;AUDUSD Curncy;GBPUSD Curncy,,,,,,,
覆核中,15WMSD0201,倍數得利４２一年人民幣匯率型,"=""""",,"=""""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0202,倍數得利４２一年人民幣匯率型,"=""""",,"=""""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0203,澳利雙匯１１十年澳幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0211,澳利雙匯１２十年澳幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0301,倍數得利４３一年人民幣匯率型,"=""""",,"=""""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0303,旺市集利３十年美金股權型,"=""""",,"=""""",,,HSI Index;SX5E Index;NKY Index,,,,,,,
覆核中,15WMSD0305,旺市集利５十年澳幣股權型,"=""""",,"=""""",,,HSI Index;SX5E Index;NKY Index,,,,,,,
覆核中,15WMSD0311,澳利雙匯１４十年澳幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0401,倍數得利４６二年人民幣匯率型,"=""""",4.5,"=""一年""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0411,雙匯出擊２７十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0412,雙匯出擊２８十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0413,澳利雙匯１５十年澳幣匯率型,"=""""",,"=""""",,,EURUSD Curncy;AUDUSD Curncy,,,,,,,
覆核中,15WMSD0501,倍數得利４７二年人民幣匯率型,"=""""",4,"=""一年""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0503,歐港集利２十年澳幣股權型,"=""""",,"=""""",,,SX5E Index;HSI Index,,,,,,,
覆核中,15WMSD0505,歐美集利十年澳幣股權型,"=""""",,"=""""",,,SX5E Index;SPX Index,,,,,,,
覆核中,15WMSD0511,雙匯出擊３２十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0512,倍數得利４８二年人民幣匯率型,"=""""",4.5,"=""一年""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0514,雙匯出擊２９十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0516,雙匯出擊３０十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
覆核中,15WMSD0601,倍數得利４９二年人民幣匯率型,"=""""",3.5,"=""一年""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0603,歐美集利２十年澳幣股權型,"=""""",,"=""""",,,SX5E Index;SPX Index,,,,,,,
覆核中,15WMSD0605,歐美集利３十年美金股權型,"=""""",,"=""""",,,SX5E Index;SPX Index,,,,,,,
覆核中,15WMSD0607,倍數得利５０二年人民幣匯率型,"=""""",3.5,"=""一年""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0608,倍數得利５０二年人民幣匯率型,"=""""",3.5,"=""一年""",,,USDCNH Curncy,,,,,,,
覆核中,15WMSD0609,多倍利十年美金利率型,"=""""",5,"=""一年""",,,USSW10 Index;USSW2 Index,,,,,,,
覆核中,15WMSD0611,雙匯出擊３３十年美金匯率型,"=""""",,"=""""",,Y,EURUSD Curncy;USDZAR Curncy,,,,,,,
